Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
2020-01-01,12182.5,12222.2001953125,12165.2998046875,12202.150390625,304100,,,
2020-01-02,12282.2001953125,12289.900390625,12195.25,12198.5498046875,407700,,,
2020-01-03,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,,,
2020-01-06,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,,,
2020-01-07,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,,,
2020-01-08,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,,,
2020-01-09,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,,,
2020-01-10,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,,,
2020-01-13,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,,,
2020-01-14,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,,,
2020-01-15,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,,,
2020-01-16,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,,,
2020-01-17,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,,,
2020-01-20,12224.5498046875,12430.5,12216.900390625,12430.5,491600,,,52.155400690585196
2020-01-21,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,,,49.38599418320257
2020-01-22,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,,,41.176788633590995
2020-01-23,12180.349609375,12189.0,12094.099609375,12123.75,867700,,,47.71083034303747
2020-01-24,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,,,65.08987810300326
2020-01-27,12119.0,12216.599609375,12107.0,12197.099609375,441200,,,53.609475413300544
2020-01-28,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,,,51.601714879238266
2020-01-29,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,,,44.818251673874435
2020-01-30,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,,,37.53525098702763
2020-01-31,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,,,29.297418759195338
2020-02-03,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,,,20.493292459003115
2020-02-04,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,,,36.64673115168658
2020-02-05,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,,,40.8718683984353
2020-02-06,12137.9501953125,12160.599609375,12084.650390625,12120.0,565100,,,42.87519577025902
2020-02-07,12098.349609375,12154.7001953125,12073.9501953125,12151.150390625,473500,,,45.5450350353318
2020-02-10,12031.5,12103.5498046875,11990.75,12102.349609375,524700,,,45.15768706497115
2020-02-11,12107.900390625,12172.2998046875,12099.0,12108.400390625,480000,,,50.03467406380028
2020-02-12,12201.2001953125,12231.75,12144.2998046875,12151.0,411700,,,50.71315721791527
2020-02-13,12174.650390625,12225.650390625,12139.7998046875,12219.5498046875,501200,,,47.4093766499472
2020-02-14,12113.4501953125,12246.7001953125,12091.2001953125,12190.150390625,622800,,,49.794824064252595
2020-02-17,12045.7998046875,12159.599609375,12037.0,12131.7998046875,0,,,49.631513113671005
2020-02-18,11992.5,12030.75,11908.0498046875,12028.25,676900,,,44.87467265245043
2020-02-19,12125.900390625,12134.7001953125,12042.099609375,12090.599609375,513600,,,53.2735275813938
2020-02-20,12080.849609375,12152.0,12071.4501953125,12119.0,502600,,,54.40614192994814
2020-02-24,11829.400390625,12012.5498046875,11813.400390625,12012.5498046875,490800,,,54.517397732587014
2020-02-25,11797.900390625,11883.0498046875,11779.900390625,11877.5,461000,,,41.77267342139232
2020-02-26,11678.5,11783.25,11639.599609375,11738.5498046875,567600,,,31.576115625859842
2020-02-27,11633.2998046875,11663.849609375,11536.7001953125,11661.25,608600,,,27.285426439457353
2020-02-28,11201.75,11384.7998046875,11175.0498046875,11382.0,809900,,,20.16904633795751
2020-03-02,11132.75,11433.0,11036.25,11387.349609375,680800,,,20.140227244706594
2020-03-03,11303.2998046875,11342.25,11152.5498046875,11217.5498046875,696500,,,24.842089577942673
2020-03-04,11251.0,11356.599609375,11082.150390625,11351.349609375,797700,,,19.507738977558688
2020-03-05,11269.0,11389.5,11244.599609375,11306.0498046875,1352500,,,20.777001903273387
2020-03-06,10989.4501953125,11035.099609375,10827.400390625,10942.650390625,1811000,,,18.210878679577746
2020-03-09,10451.4501953125,10751.5498046875,10294.4501953125,10742.0498046875,1565500,,,14.38401408745672
2020-03-11,10458.400390625,10545.099609375,10334.0,10334.2998046875,1218500,,,15.005261736881067
2020-03-12,9590.150390625,10040.75,9508.0,10039.9501953125,1343500,11873.67203125,,6.679764243614926
2020-03-13,9955.2001953125,10159.400390625,8555.150390625,9107.599609375,1388000,11829.12603515625,,17.264956442306627
2020-03-16,9197.400390625,9602.2001953125,9165.099609375,9587.7998046875,897700,11767.4300390625,,14.935649543840583
2020-03-17,8967.0498046875,9403.7998046875,8915.599609375,9285.400390625,935600,11702.23802734375,,14.184131301866643
2020-03-18,8468.7998046875,9127.5498046875,8407.0498046875,9088.4501953125,1516600,11631.75302734375,,12.943332178060544
2020-03-19,8263.4501953125,8575.4501953125,7832.5498046875,8063.2998046875,925700,11555.96302734375,,12.48176671308525
2020-03-20,8745.4501953125,8883.0,8178.2001953125,8284.4501953125,1071500,11490.3650390625,,22.956575928098985
2020-03-23,7610.25,8159.25,7583.60009765625,7945.7001953125,653500,11398.25203125,,18.591730460650666
2020-03-24,7801.0498046875,8036.9501953125,7511.10009765625,7848.2998046875,738400,11309.13703125,,18.884651837836316
2020-03-25,8317.849609375,8376.75,7714.75,7735.14990234375,736900,11228.90302734375,,25.927592975693443
2020-03-26,8641.4501953125,8749.0498046875,8304.900390625,8451.0,865600,11154.48603515625,,29.465690381486624
2020-03-27,8660.25,9038.900390625,8522.900390625,8949.099609375,801500,11080.8250390625,,31.02391871547951
2020-03-30,8281.099609375,8576.0,8244.0,8385.9501953125,593300,10999.33703125,,31.848249322792483
2020-03-31,8597.75,8678.2998046875,8358.0,8529.349609375,712700,10924.2450390625,,35.20487146690057
2020-04-01,8253.7998046875,8588.099609375,8198.349609375,8584.099609375,506300,10844.8300390625,,38.407283803797334
2020-04-03,8083.7998046875,8356.5498046875,8055.7998046875,8356.5498046875,697000,10763.10904296875,,33.197155558673174
2020-04-07,8792.2001953125,8819.400390625,8360.9501953125,8446.2998046875,814200,10696.8150390625,,46.329244050309946
2020-04-08,8748.75,9131.7001953125,8653.900390625,8688.900390625,896500,10628.183046875,,47.953081645065296
2020-04-09,9111.900390625,9128.349609375,8904.5498046875,8973.0498046875,742100,10565.4560546875,,56.186869801919826
2020-04-13,8993.849609375,9112.0498046875,8912.400390625,9103.9501953125,644000,10502.953046875,,57.14676120652603
2020-04-15,8925.2998046875,9261.2001953125,8874.099609375,9196.400390625,879100,10440.343046875,,51.914698072680466
2020-04-16,8992.7998046875,9053.75,8821.900390625,8851.25,719400,10377.60904296875,,69.04940735129287
2020-04-17,9266.75,9324.0,9091.349609375,9323.4501953125,684200,10322.228046875,,69.74271334203786
2020-04-20,9261.849609375,9390.849609375,9230.7998046875,9390.2001953125,726400,10268.223046875,,64.74952287310042
2020-04-21,8981.4501953125,9044.400390625,8909.400390625,9016.9501953125,655100,10213.69404296875,,55.38502561970484
2020-04-22,9187.2998046875,9209.75,8946.25,9026.75,734400,10157.84703125,,57.880642145758124
2020-04-23,9313.900390625,9343.599609375,9170.150390625,9232.349609375,666700,10102.34203125,,66.70440574223622
2020-04-24,9154.400390625,9296.900390625,9141.2998046875,9163.900390625,659400,10042.67103515625,,59.485388431490406
2020-04-27,9282.2998046875,9377.099609375,9250.349609375,9259.7001953125,512800,9986.3500390625,,68.91876161782659
2020-04-28,9380.900390625,9404.400390625,9260.0,9389.7998046875,614500,9933.338046875,,74.50316843920932
2020-04-29,9553.349609375,9599.849609375,9392.349609375,9408.599609375,653000,9882.24703125,,68.02944791860878
2020-04-30,9859.900390625,9889.0498046875,9731.5,9753.5,931200,9835.42103515625,,73.40297483345853
2020-05-04,9293.5,9533.5,9266.9501953125,9533.5,687500,9777.79802734375,,53.52319429613792
2020-05-05,9205.599609375,9450.900390625,9190.75,9429.400390625,725200,9719.641015625,,54.15676832120483
2020-05-06,9270.900390625,9346.900390625,9116.5,9226.7998046875,722200,9664.14302734375,,56.792993692926245
2020-05-07,9199.0498046875,9277.849609375,9175.900390625,9234.0498046875,708700,9608.2740234375,,54.04705002245805
2020-05-08,9251.5,9382.650390625,9238.2001953125,9376.9501953125,609100,9550.786015625,,49.67227591949941
2020-05-11,9239.2001953125,9439.900390625,9219.9501953125,9348.150390625,704600,9493.95302734375,,49.514804802706536
2020-05-12,9196.5498046875,9240.849609375,9043.9501953125,9168.849609375,805500,9441.296015625,,55.130451958293385
2020-05-13,9383.5498046875,9584.5,9351.099609375,9584.2001953125,846400,9393.00900390625,,54.723331603450745
2020-05-14,9142.75,9281.099609375,9119.75,9213.9501953125,602600,9342.29400390625,,46.09540283354989
